Date,Workout Type,Duration (mins),Calories Burned,Intensity (RPE),Avg Heart Rate,Weight,Age,Sex
01-01-2024,Strength,33,201,7,142,72,22,M
02-01-2024,Rest,0,0,0,63,72,22,M
03-01-2024,Cardio,48,389,8,151,72,22,M
04-01-2024,HIIT,45,411,8,149,72,22,M
05-01-2024,Mobility,40,117,2,94,72,22,M
06-01-2024,Strength,44,323,7,138,72,22,M
07-01-2024,Strength,48,378,8,123,72,22,M
08-01-2024,Strength,43,278,8,139,72,22,M
09-01-2024,Yoga,44,112,3,97,72,22,M
10-01-2024,Rest,0,0,0,63,72,22,M
11-01-2024,Cardio,40,365,7,139,72,22,M
12-01-2024,Cardio,60,533,7,155,72,22,M
13-01-2024,Strength,46,328,7,127,72,22,M
14-01-2024,Strength,48,369,8,127,72,22,M
15-01-2024,HIIT,68,735,8,167,72,22,M
16-01-2024,Cardio,55,458,6,144,72,22,M
17-01-2024,Cardio,26,218,8,140,72,22,M
18-01-2024,HIIT,31,335,8,140,72,22,M
19-01-2024,Rest,0,0,0,69,72,22,M
20-01-2024,Cardio,48,390,7,130,72,22,M
21-01-2024,Strength,54,402,8,124,72,22,M
22-01-2024,Yoga,44,157,3,104,72,22,M
23-01-2024,HIIT,55,622,9,162,72,22,M
24-01-2024,Strength,20,128,8,132,72,22,M
25-01-2024,Rest,0,0,0,60,72,22,M
26-01-2024,Strength,53,414,8,123,72,22,M
27-01-2024,Cardio,59,506,6,136,72,22,M
28-01-2024,Cardio,39,375,7,139,72,22,M
29-01-2024,Yoga,47,140,4,100,72,22,M
30-01-2024,Cardio,48,471,6,136,72,22,M
31-01-2024,Cardio,31,281,7,137,72,22,M
01-02-2024,Strength,34,222,7,138,72,22,M
02-02-2024,Cardio,40,349,6,149,72,22,M
03-02-2024,Mobility,39,92,3,91,72,22,M
04-02-2024,Strength,34,270,7,136,72,22,M
05-02-2024,Strength,35,234,7,124,72,22,M
06-02-2024,Yoga,48,137,4,95,72,22,M
07-02-2024,Yoga,64,229,5,106,72,22,M
08-02-2024,Strength,59,448,7,135,72,22,M
09-02-2024,Cardio,58,544,8,135,72,22,M
10-02-2024,Rest,0,0,0,63,72,22,M
11-02-2024,Cardio,29,286,8,149,72,22,M
12-02-2024,Strength,45,345,7,137,72,22,M
13-02-2024,Yoga,36,103,5,99,72,22,M
14-02-2024,Yoga,51,169,4,105,72,22,M
15-02-2024,Strength,41,319,8,124,72,22,M
16-02-2024,Yoga,42,127,3,98,72,22,M
17-02-2024,HIIT,51,483,8,156,72,22,M
18-02-2024,Rest,0,0,0,63,72,22,M
19-02-2024,Strength,57,417,8,144,72,22,M
20-02-2024,Cardio,46,427,7,132,72,22,M
21-02-2024,Cardio,32,271,6,133,72,22,M
22-02-2024,Strength,52,380,7,122,72,22,M
23-02-2024,Strength,57,414,8,138,72,22,M
24-02-2024,Cardio,48,470,8,151,72,22,M
25-02-2024,Strength,45,321,7,120,72,22,M
26-02-2024,Strength,51,308,7,123,72,22,M
27-02-2024,Yoga,36,140,3,101,72,22,M
28-02-2024,Mobility,42,142,2,84,72,22,M
29-02-2024,Strength,52,413,7,122,72,22,M
01-03-2024,Cardio,35,291,6,132,72,22,M
02-03-2024,Strength,39,288,7,141,72,22,M
03-03-2024,Strength,47,295,8,142,72,22,M
04-03-2024,Strength,36,277,8,136,72,22,M
05-03-2024,Cardio,49,433,7,152,72,22,M
06-03-2024,Cardio,62,559,6,157,72,22,M
07-03-2024,Strength,50,379,8,133,72,22,M
08-03-2024,Rest,0,0,0,66,72,22,M
09-03-2024,Cardio,56,497,7,131,72,22,M
10-03-2024,Yoga,35,89,4,106,72,22,M
11-03-2024,HIIT,40,375,9,150,72,22,M
12-03-2024,Strength,37,228,7,126,72,22,M
13-03-2024,Cardio,51,479,7,144,72,22,M
14-03-2024,Cardio,31,263,7,152,72,22,M
15-03-2024,Cardio,25,221,7,152,72,22,M
16-03-2024,Yoga,29,80,4,105,72,22,M
17-03-2024,Rest,0,0,0,60,72,22,M
18-03-2024,Mobility,41,119,2,84,72,22,M
19-03-2024,Strength,37,223,7,141,72,22,M
20-03-2024,Cardio,32,258,6,144,72,22,M
